OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 600, 800, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0017357160104438663" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 600, 800, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.00086785800522193313" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 20, 30, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.044005174189805984" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 20, 30, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.022002587094902992" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 30, 40, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.010675742290914059" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 30, 40, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0053378711454570293" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 40, 50, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0094870235770940781" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 40, 50, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.004743511788547039" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 50, 60, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0069765672087669373" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 50, 60, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0034882836043834686" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 60, 70, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0072481255047023296" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 60, 70, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0036240627523511648" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 70, 80, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0034184770192950964" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 70, 80, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0017092385096475482" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 80, 100, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0046094418503344059" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 80, 100, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0023047209251672029" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 100, 120, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0069089820608496666" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 100, 120, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0034544910304248333" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 120, 160, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.00021582994668278843" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 120, 160, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.00010791497334139422" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 160, 210, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0035776321310549974" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 160, 210, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0017888160655274987" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 210, 260, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0046806666068732738" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 210, 260, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0023403333034366369" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 260, 320, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.005768951028585434" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 260, 320, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.002884475514292717" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 320, 400, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0037938954774290323" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 320, 400, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0018969477387145162" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 400, 500, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0066698021255433559" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 400, 500, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.003334901062771678" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 500, 600, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.015930276364088058" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 500, 600, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0079651381820440292" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 600, 800, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.016486482694745064" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 600, 800, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0082432413473725319" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 20, 30, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-8.7597240053582937e-05" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-4.3798620026791468e-05" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 30, 40, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0011061299592256546" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 30, 40, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0005530649796128273" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 40, 50, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.00094111001817509532" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 40, 50, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.00047055500908754766" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 50, 60, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0041876197792589664" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 50, 60, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0020938098896294832" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 60, 70, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0053961598314344883" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 60, 70, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0026980799157172441" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 70, 80, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0049590999260544777" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 70, 80, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0024795499630272388" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 80, 100, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0055562201887369156" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 80, 100, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0027781100943684578" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 100, 120, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0060402601957321167" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 100, 120, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0030201300978660583" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 120, 160, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.013463379815220833" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 120, 160, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0067316899076104164" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 160, 210, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.01823841966688633" 
